category,code,employment,states_with_data,percentage
White,A1,1829397,49,62.61
Black,A2,780688,49,26.72
Am. Indian / AK Native,A3,40733,49,1.39
Asian,A4,179754,49,6.15
Hawaiian / Pac. Isl.,A5,11923,49,0.41
Two or more,A7,79618,49,2.72
