period,561311,561320,561312,561330,year,quarter,561311_seasonal,561311_sa,561320_seasonal,561320_sa,561312_seasonal,561312_sa,561330_seasonal,561330_sa
2013 Q3,58583,314060,2729,41154,2013,3,1.0030357259860032,58405.69630998118,0.9916502498592308,316704.4026304458,0.9968855981484944,2737.5257552807907,1.0016095532556712,41087.86689007849
2013 Q4,60198,325022,2699,41646,2013,4,1.045778277569979,57562.87091741758,1.0266008777590525,316600.15790117416,1.0229037159115872,2638.5670107716014,1.0451334186630639,39847.54410903215
2014 Q1,50983,346366,1995,36498,2014,1,0.9797355882535059,52037.50951915833,1.0077751484243231,343693.7302349143,0.9893593672669919,2016.4563716731075,0.9716592865710382,37562.54944961268
2014 Q2,54362,336135,1950,37297,2014,2,0.9714504081905114,55959.62443544422,0.9739737239573932,345117.11325664504,0.9908513186729263,1968.0046473689788,0.9815977415102267,37996.216191998465
2014 Q3,54351,353184,1975,37655,2014,3,1.0030357259860032,54186.50461983489,0.9916502498592308,356157.8288818422,0.9968855981484944,1981.1701600144968,1.0016095532556712,37594.48966676156
2014 Q4,56435,372562,2033,39798,2014,4,1.045778277569979,53964.593844055635,1.0266008777590525,362908.3201382591,1.0229037159115872,1987.4793378653817,1.0451334186630639,38079.348807838964
2015 Q1,48148,384661,2297,33833,2015,1,0.9797355882535059,49143.87164993106,1.0077751484243231,381693.2781101273,0.9893593672669919,2321.7044038762547,0.9716592865710382,34819.81849769154
2015 Q2,47184,359148,2332,38339,2015,2,0.9714504081905114,48570.67288477245,0.9739737239573932,368745.0607401715,0.9908513186729263,2353.5317116227993,0.9815977415102267,39057.75082674288
2015 Q3,49188,382883,2367,39188,2015,3,1.0030357259860032,49039.13063679488,0.9916502498592308,386106.89611014765,0.9968855981484944,2374.3948196224374,1.0016095532556712,39125.026186722935
2015 Q4,51134,399334,2496,39405,2015,4,1.045778277569979,48895.64174044371,1.0266008777590525,388986.614614726,1.0229037159115872,2440.1123597206065,1.0451334186630639,37703.32026164366
2016 Q1,46422,404001,2568,33809,2016,1,0.9797355882535059,47382.17183960081,1.0077751484243231,400884.06687906897,0.9893593672669919,2595.619028800271,0.9716592865710382,34795.118481614205
2016 Q2,45276,384648,2599,35625,2016,2,0.9714504081905114,46606.599388160335,0.9739737239573932,394926.4651998215,0.9908513186729263,2622.996963339475,0.9815977415102267,36292.87078960628
2016 Q3,49554,387147,2583,37328,2016,3,1.0030357259860032,49404.02292379713,0.9916502498592308,390406.79922680126,0.9968855981484944,2591.0696320594657,1.0016095532556712,37268.015144891135
2016 Q4,55546,400860,2564,40673,2016,4,1.045778277569979,53114.5092524482,1.0266008777590525,390473.07350353105,1.0229037159115872,2506.589779777097,1.0451334186630639,38916.56249211604
2017 Q1,48677,393426,3055,37406,2017,1,0.9797355882535059,49683.8132488098,1.0077751484243231,390390.6547161135,0.9893593672669919,3087.8567496046835,0.9716592865710382,38497.033391205325
2017 Q2,45803,387615,3040,38202,2017,2,0.9714504081905114,47149.0871935663,0.9739737239573932,397972.7486128325,0.9908513186729263,3068.0687835906133,0.9815977415102267,38918.182453460744
