rank,abbr,state,year_used,temp_emp_latest,total_emp_latest,penetration_latest,penetration_compare,change_pp
1,TN,Tennessee,2023,92669.25,2796927.25,3.3132520697490433,2.880169186899387,0.43308288284965624
2,SC,South Carolina,2023,60371.25,1877589.75,3.215358946223476,2.8909265404924764,0.32443240573099974
3,IL,Illinois,2023,162253.75,5223038.25,3.1065012782550463,2.723243757485042,0.3832575207700044
4,AL,Alabama,2023,50819.75,1696160.75,2.9961635416926136,2.463826597859375,0.5323369438332386
5,GA,Georgia,2023,114037.25,4138819.0,2.755308941995289,2.8421594857949306,-0.08685054379964141
6,NC,North Carolina,2023,111818.0,4142287.0,2.6994266693737057,2.2887403941723603,0.4106862752013454
7,MS,Mississippi,2023,25060.5,929508.25,2.696103020064642,2.021456644166874,0.6746463758977677
8,KY,Kentucky,2023,44917.5,1678051.75,2.6767648852307446,2.5067529002835247,0.17001198494721992
9,NJ,New Jersey,2023,94986.75,3636034.0,2.6123724365613743,,
10,IN,Indiana,2023,69938.0,2761844.5,2.5322931830521234,2.459180824080813,0.07311235897131052
11,MI,Michigan,2021,90016.75,3562413.5,2.526847318538401,2.7928213851367505,-0.26597406659834943
12,AR,Arkansas,2023,26921.25,1080237.75,2.492159712063386,2.0353158244968155,0.4568438875665706
13,OH,Ohio,2023,114152.0,4749255.25,2.403576855550141,2.0583703626526217,0.34520649289751937
14,TX,Texas,2023,267503.0,11691492.75,2.2880140775864573,2.073079630580813,0.21493444700564446
15,CA,California,2023,350631.0,15462257.0,2.26765730255292,2.039417076649569,0.2282402259033507
16,NE,Nebraska,2023,18894.75,843363.0,2.240405377044049,1.2613168318916763,0.9790885451523725
17,KS,Kansas,2023,25138.5,1170283.0,2.148070167643211,1.5412820481004272,0.6067881195427838
18,PA,Pennsylvania,2023,113073.0,5289487.0,2.137693126006359,1.7861105989839938,0.35158252702236537
19,WI,Wisconsin,2023,53578.75,2537596.0,2.111397953023255,1.8897737878395942,0.22162416518366101
20,DE,Delaware,2023,8473.25,402576.0,2.104757859385557,1.8299329229045704,0.2748249364809867
21,OR,Oregon,2023,35688.0,1697024.25,2.102975252121471,2.2177879556001474,-0.11481270347867634
22,AZ,Arizona,2023,57415.5,2757650.75,2.0820439281515255,1.6490170375057547,0.4330268906457708
23,MO,Missouri,2023,50537.25,2467047.5,2.0484911620064064,1.7573966347803476,0.2910945272260588
24,FL,Florida,2023,173985.25,8566143.25,2.0310803231080685,1.704648551687208,0.32643177142086044
25,NV,Nevada,2023,26859.25,1349648.5,1.9900922351264052,1.7682682134909342,0.221824021635471
26,VA,Virginia,2023,64750.5,3322902.0,1.9486129894893078,1.7407559339783418,0.207857055510966
27,MN,Minnesota,2023,48495.5,2523901.5,1.921449787164832,2.1902309551344117,-0.26878116796957974
28,MA,Massachusetts,2023,60933.75,3199861.5,1.9042621063442902,1.7417527645852273,0.16250934175906284
29,OK,Oklahoma,2023,25329.0,1339296.5,1.8912167694009505,1.7011101593010183,0.19010661009993224
30,MD,Maryland,2023,40883.75,2199229.75,1.8590031350749052,1.8100280142446519,0.04897512083025335
31,RI,Rhode Island,2023,7885.75,426912.0,1.8471605389401093,2.0652442519255128,-0.2180837129854034
32,IA,Iowa,2023,24104.75,1308877.25,1.8416356461234238,1.9022096905045627,-0.06057404438113889
33,UT,Utah,2023,26266.25,1433423.0,1.8324144373293856,1.952224833282424,-0.11981039595303833
34,LA,Louisiana,2023,28514.75,1588366.5,1.7952248426292043,1.6360640520234586,0.15916079060574573
35,WA,Washington,2023,52323.25,2993890.25,1.747667604047944,1.5521587126241994,0.1955088914237446
36,CT,Connecticut,2023,25077.0,1443659.0,1.7370445513795156,1.7445251143333471,-0.007480562953831482
37,CO,Colorado,2023,40958.75,2400626.5,1.7061692020812067,1.585257775101133,0.12091142698007373
38,ME,Maine,2023,9045.25,539703.25,1.6759673024018291,1.0913538432590084,0.5846134591428207
39,NH,New Hampshire,2023,9981.5,599012.5,1.6663258279251267,1.5611290278552292,0.10519680006989751
40,DC,D.C.,2023,8683.25,525452.25,1.6525288453898523,1.738981921419632,-0.0864530760297797
41,NM,New Mexico,2023,10244.0,676213.5,1.5149061649907907,1.0730182403410875,0.44188792464970317
42,WV,West Virginia,2023,8011.0,550050.75,1.456411067524224,1.0508794944493816,0.40553157307484233
43,NY,New York,2023,113746.25,8077434.0,1.4081978261908423,1.2538998277123519,0.15429799847849046
44,ND,North Dakota,2023,4443.0,347270.0,1.279407953465603,0.95468341616527,0.3247245373003331
45,WY,Wyoming,2023,2627.0,213064.0,1.2329628656178426,0.8161453353367026,0.41681753028114
46,ID,Idaho,2023,8491.25,714939.5,1.1876879092566575,1.6810401902287098,-0.4933522809720523
47,MT,Montana,2023,4797.75,420858.5,1.1399912322074996,0.9071800060483645,0.2328112261591352
48,VT,Vermont,2023,2858.0,254432.5,1.1232841716368782,0.7903519322609089,0.3329322393759693
49,HI,Hawaii,2023,4785.0,512528.25,0.9336070743417558,0.7954762500437149,0.1381308242980409
50,SD,South Dakota,2023,2810.5,375364.0,0.7487398898136209,0.5928471563943479,0.155892733419273
51,AK,Alaska,2016,1094.5,241311.5,0.4535631331287568,0.46942592437744174,-0.01586279124868495
