category,code,employment,states_with_data,percentage
14-18,A01,32802,49,1.12
19-21,A02,142690,49,4.88
22-24,A03,212762,49,7.28
25-34,A04,788885,49,26.99
35-44,A05,651698,49,22.3
45-54,A06,500777,49,17.14
55-64,A07,365703,49,12.51
65+,A08,227197,49,7.77
