level,soc,occupation,employment,annual_mean_wage,annual_median_wage
detail,49-9081,Wind Turbine Service Technicians,,46220,45840
detail,49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers",60,39500,39520
detail,49-9095,Manufactured Building and Mobile Home Installers,90,35970,35360
detail,49-9096,Riggers,730,73870,69790
detail,49-9098,"Helpers--Installation, Maintenance, and Repair Workers",1110,38210,37440
detail,49-9099,"Installation, Maintenance, and Repair Workers, All Other",7970,48120,46320
major,51-0000,Production Occupations,442820,38950,37000
detail,51-1011,First-Line Supervisors of Production and Operating Workers,4790,59930,50000
detail,51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",640,50420,47860
detail,51-2021,"Coil Winders, Tapers, and Finishers",130,43780,47750
detail,51-2028,"Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers",9500,39520,37580
detail,51-2031,Engine and Other Machine Assemblers,560,44480,42020
detail,51-2041,Structural Metal Fabricators and Fitters,1790,44610,42680
detail,51-2051,Fiberglass Laminators and Fabricators,210,36200,33790
detail,51-3011,Bakers,1250,37310,36460
detail,51-3021,Butchers and Meat Cutters,160,36230,37040
detail,51-3022,"Meat, Poultry, and Fish Cutters and Trimmers",4390,35130,35350
detail,51-3023,Slaughterers and Meat Packers,1570,35150,35560
detail,51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",720,36230,37630
detail,51-3092,Food Batchmakers,8930,35050,35470
detail,51-3093,Food Cooking Machine Operators and Tenders,440,37280,35950
detail,51-3099,"Food Processing Workers, All Other",1290,35710,35880
detail,51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",820,37600,36960
detail,51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",,37750,36110
detail,51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",350,43430,37750
detail,51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",5840,37850,36130
detail,51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",80,35100,33630
detail,51-4033,"Grinding, Lapping, Polishing, & Buffing Machine Tool Setters, Operators, & Tenders, Metal & Plastic",1150,39060,37790
detail,51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",170,44720,42240
detail,51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",330,40630,38340
detail,51-4041,Machinists,7490,45290,39690
detail,51-4051,Metal-Refining Furnace Operators and Tenders,70,43140,42240
detail,51-4061,"Model Makers, Metal and Plastic",40,75170,57730
detail,51-4071,Foundry Mold and Coremakers,230,39420,39520
detail,51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",7730,36210,36080
detail,51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",12400,37740,37230
detail,51-4111,Tool and Die Makers,890,51450,47150
detail,51-4121,"Welders, Cutters, Solderers, and Brazers",12950,51300,47470
detail,51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",1170,42430,37820
detail,51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",340,42590,42230
detail,51-4192,"Layout Workers, Metal and Plastic",700,69430,63710
detail,51-4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",760,35280,34580
detail,51-4194,"Tool Grinders, Filers, and Sharpeners",140,36120,35360
detail,51-4199,"Metal Workers and Plastic Workers, All Other",2320,43120,42950
detail,51-5111,Prepress Technicians and Workers,130,36210,34790
detail,51-5112,Printing Press Operators,2120,37540,36070
detail,51-5113,Print Binding and Finishing Workers,990,35800,34780
detail,51-6011,Laundry and Dry-Cleaning Workers,4480,34530,34350
detail,51-6021,"Pressers, Textile, Garment, and Related Materials",150,33620,31470
detail,51-6031,Sewing Machine Operators,2580,33170,34210
detail,51-6041,Shoe and Leather Workers and Repairers,40,31360,32210
detail,51-6052,"Tailors, Dressmakers, and Custom Sewers",50,47710,47240
detail,51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",120,36990,35970
detail,51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",100,36350,37440
detail,51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",160,36080,35290
detail,51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",50,39430,37630
detail,51-6093,Upholsterers,370,48500,46380
detail,51-6099,"Textile, Apparel, and Furnishings Workers, All Other",400,34820,35030
detail,51-7011,Cabinetmakers and Bench Carpenters,960,54670,41740
detail,51-7021,Furniture Finishers,70,45970,47330
detail,51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",700,38170,37530
detail,51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",1590,35770,35560
detail,51-7099,"Woodworkers, All Other",,33260,35160
detail,51-8013,Power Plant Operators,,98730,94850
detail,51-8021,Stationary Engineers and Boiler Operators,,77300,76960
detail,51-8031,Water and Wastewater Treatment Plant and System Operators,760,53100,49660
detail,51-8099,"Plant and System Operators, All Other",60,44670,43980
detail,51-9011,Chemical Equipment Operators and Tenders,2220,44290,39130
detail,51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",1250,43190,41080
detail,51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",460,38980,38650
detail,51-9022,"Grinding and Polishing Workers, Hand",320,38820,36750
detail,51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",2900,40060,38280
detail,51-9031,"Cutters and Trimmers, Hand",780,32650,34640
detail,51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",770,37700,36020
detail,51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",1250,35990,35230
detail,51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",,39530,39150
detail,51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",34260,39870,36280
detail,51-9071,Jewelers and Precious Stone and Metal Workers,30,41530,37710
detail,51-9082,Medical Appliance Technicians,220,44520,41820
detail,51-9083,Ophthalmic Laboratory Technicians,110,37830,35190
detail,51-9111,Packaging and Filling Machine Operators and Tenders,21850,36630,36290
detail,51-9123,"Painting, Coating, and Decorating Workers",210,38400,36960
detail,51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",3610,41380,38220
detail,51-9141,Semiconductor Processing Technicians,170,35790,31200
detail,51-9151,Photographic Process Workers and Processing Machine Operators,70,38270,34890
detail,51-9161,Computer Numerically Controlled Tool Operators,3330,39590,37440
detail,51-9162,Computer Numerically Controlled Tool Programmers,240,59260,55130
detail,51-9191,Adhesive Bonding Machine Operators and Tenders,440,36960,37340
detail,51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",660,37970,37670
detail,51-9193,Cooling and Freezing Equipment Operators and Tenders,40,44770,39470
detail,51-9194,Etchers and Engravers,80,38370,38060
detail,51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",990,35760,35880
detail,51-9196,"Paper Goods Machine Setters, Operators, and Tenders",1350,37700,35030
detail,51-9197,Tire Builders,250,37850,37830
detail,51-9198,Helpers--Production Workers,15020,34850,34730
detail,51-9199,"Production Workers, All Other",77450,39160,37490
major,53-0000,Transportation and Material Moving Occupations,628000,36690,35860
detail,53-1047,"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling",4060,58850,48410
detail,53-2022,Airfield Operations Specialists,90,46600,44370
detail,53-3031,Driver/Sales Workers,1530,35790,36510
detail,53-3032,Heavy and Tractor-Trailer Truck Drivers,12740,51850,48940
detail,53-3033,Light Truck Drivers,9100,40150,38130
detail,53-3052,"Bus Drivers, Transit and Intercity",120,45430,44560
detail,53-3053,Shuttle Drivers and Chauffeurs,2970,35790,30500
detail,53-3099,"Motor Vehicle Operators, All Other",,34780,34670
detail,53-5011,Sailors and Marine Oilers,240,38340,38360
detail,53-6021,Parking Attendants,5770,32140,31770
detail,53-6031,Automotive and Watercraft Service Attendants,190,35380,33100
detail,53-6032,Aircraft Service Attendants,,43750,45070
detail,53-6041,Traffic Technicians,60,40020,38660
detail,53-6051,Transportation Inspectors,200,48480,35050
detail,53-6061,Passenger Attendants,,37600,37060
detail,53-6099,"Transportation Workers, All Other",80,37490,33890
detail,53-7011,Conveyor Operators and Tenders,240,36710,35750
detail,53-7021,Crane and Tower Operators,490,44840,41600
detail,53-7041,Hoist and Winch Operators,150,34430,35360
detail,53-7051,Industrial Truck and Tractor Operators,59390,39410,38140
detail,53-7061,Cleaners of Vehicles and Equipment,4100,34780,34590
detail,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",394220,36080,35730
detail,53-7063,Machine Feeders and Offbearers,2800,36480,35360
detail,53-7064,"Packers and Packagers, Hand",84010,34230,34320
detail,53-7065,Stockers and Order Fillers,39500,36570,36200
detail,53-7081,Refuse and Recyclable Material Collectors,2980,35360,35350
detail,53-7121,"Tank Car, Truck, and Ship Loaders",280,41190,37960
detail,53-7199,"Material Moving Workers, All Other",660,38720,35920
